Date.Sampled,Sample,Rep,750A,665A,750B,665B,chla,area,chla_cm
8/18/2017,T,B,0.001,0.0027,0.0006,0.0027,0.572,20.25,0.028246914
8/18/2017,T,C,0.0009,0.0039,0.0006,0.0039,0.429,20.25,0.021185185
8/18/2017,Cr,A,0.004,0.0005,0,0.0004,5.577,1,5.577
8/18/2017,Cr,B,0.0006,0.0006,0.0004,0.0005,0.143,1,0.143
8/18/2017,Cr,C,0.0005,0.0006,0.0002,0.0004,0.143,1,0.143
8/22/2017,H,A,0.0021,0.0026,0,0.0009,0.572,16,0.03575
8/22/2017,H,B,0.001,0.0016,0,0.0005,-0.143,16,-0.0089375
8/22/2017,H,C,0.0009,0.0011,0,0,-0.286,16,-0.017875
8/22/2017,So,A,0.0034,0.004,0,0.0013,1.001,16,0.0625625
8/22/2017,So,B,0.0017,0.0039,0,0.0034,1.716,16,0.10725
8/22/2017,So,C,0.001,0.0024,0,0.0017,0.429,16,0.0268125
8/22/2017,Sh,A,0.0016,0.0034,0,0.0032,2.002,16,0.125125
8/22/2017,Sh,B,0.002,0.0028,0,0.0043,5.005,16,0.3128125
8/22/2017,Sh,C,0.0009,0.0078,0,0.0043,-3.718,16,-0.232375
8/22/2017,F,A,0.0028,0.0078,0.0009,0.0098,5.577,16,0.3485625
8/22/2017,F,B,0.0061,0.0128,0.0013,0.0222,20.306,16,1.269125
8/22/2017,F,C,0.0057,0.0082,0,0.0056,4.433,16,0.2770625
8/22/2017,T,A,0.0023,0.005,0.0004,0.005,2.717,20.25,0.13417284
8/22/2017,T,B,0.0043,0.0096,0.0017,0.0111,5.863,20.25,0.289530864
8/22/2017,T,C,0.0049,0.0067,0,0.0049,4.433,20.25,0.21891358
8/22/2017,Cr,A,0.0039,0.0043,0,0,-0.572,1,-0.572
8/22/2017,Cr,B,0.0005,0.0005,0,0,0,1,0
8/22/2017,Cr,C,0.0013,0.0016,0,0,-0.429,1,-0.429
8/25/2017,H,A,0.0146,0.0133,0.0001,0.0011,3.289,16,0.2055625
8/25/2017,H,B,0.0074,0.007,0.0013,0.0028,2.717,16,0.1698125
8/25/2017,H,C,0.0026,0.0034,0.005,0.004,-2.574,16,-0.160875
8/25/2017,So,A,-0.0006,-0.0028,0.0009,0.0016,4.147,16,0.2591875
8/25/2017,So,B,-0.0038,-0.0026,0.001,0.0073,7.293,16,0.4558125
8/25/2017,So,C,0.0009,-0.0011,0.0004,0.0012,4.004,16,0.25025
8/25/2017,Sh,A,,,0,0.004,5.72,16,0.3575
8/25/2017,Sh,B,-0.0032,0.0027,0,0.0127,9.724,16,0.60775
8/25/2017,Sh,C,-0.0026,-0.0039,0.0011,0.0023,3.575,16,0.2234375
8/25/2017,F,A,0.0004,-0.0023,0,0.0006,4.719,16,0.2949375
8/25/2017,F,B,0.002,0.0009,0.0005,0.002,3.718,16,0.232375
8/25/2017,F,C,0.002,0.0081,0,0.0133,10.296,16,0.6435
8/25/2017,T,A,0.0038,0.0134,0.0005,0.0134,4.719,20.25,0.233037037
8/25/2017,T,B,0.0062,0.0184,0.0018,0.0226,12.298,20.25,0.607308642
8/25/2017,T,C,0.001,0.009,0,0.0157,11.011,20.25,0.543753086
8/25/2017,Cr,A,-0.001,-0.0039,0,0,4.147,1,4.147
8/25/2017,Cr,B,0.0021,-0.001,0,0,4.433,1,4.433
8/25/2017,Cr,C,0.0035,-0.0001,0,0,5.148,1,5.148
8/29/2017,H,A,0.0146,0.0133,0.0001,0.0011,3.289,16,0.2055625
8/29/2017,H,B,0.0074,0.007,0.0013,0.0028,2.717,16,0.1698125
8/29/2017,H,C,0.0026,0.0034,0.005,0.004,-2.574,16,-0.160875
8/29/2017,So,A,-0.0006,-0.0028,0.0009,0.0016,4.147,16,0.2591875
8/29/2017,So,B,-0.0038,-0.0026,0.001,0.0073,7.293,16,0.4558125
8/29/2017,So,C,0.0009,-0.0011,0.0004,0.0012,4.004,16,0.25025
8/29/2017,Sh,A,,,,,,16,0
8/29/2017,Sh,B,-0.0032,0.0027,0,0.0127,9.724,16,0.60775
8/29/2017,Sh,C,-0.0026,-0.0039,0.0011,0.0023,3.575,16,0.2234375
8/29/2017,F,A,0.0004,-0.0023,0,0.0006,4.719,16,0.2949375
8/29/2017,F,B,0.002,0.0009,0.0005,0.002,3.718,16,0.232375
8/29/2017,F,C,0.002,0.0081,0,0.0133,10.296,16,0.6435
8/29/2017,T,A,0.0038,0.0134,0.0005,0.0134,4.719,20.25,0.233037037
8/29/2017,T,B,0.0062,0.0184,0.0018,0.0226,12.298,20.25,0.607308642
8/29/2017,T,C,0.001,0.009,0,0.0157,11.011,20.25,0.543753086
8/29/2017,Cr,A,-0.001,-0.0039,0,0,4.147,1,4.147
8/29/2017,Cr,B,0.0021,-0.001,0,0,4.433,1,4.433
8/29/2017,Cr,C,0.0035,-0.0001,0,0,5.148,1,5.148
9/1/2017,H,A,0.0006,0.0012,0.0016,0.0027,0.715,16,0.0446875
9/1/2017,H,B,0.0005,0.0017,0.001,0.0021,-0.143,16,-0.0089375
9/1/2017,H,C,0.0017,0.0035,0.0016,0.0039,0.715,16,0.0446875
9/1/2017,So,A,0.0009,0.0042,0.0009,0.0052,1.43,16,0.089375
9/1/2017,So,B,0.0009,0.0024,0.001,0.0028,0.429,16,0.0268125
9/1/2017,So,C,0.0011,0.007,0.005,0.0133,3.432,16,0.2145
9/1/2017,Sh,A,0.0009,0.002,0.0009,0.0024,0.572,16,0.03575
9/1/2017,Sh,B,0.0009,0.0042,0.0009,0.0056,2.002,16,0.125125
9/1/2017,Sh,C,0.0011,0.002,0.001,0.0013,-0.858,16,-0.053625
9/1/2017,F,A,0.0009,0.0021,0.0011,0.0026,0.429,16,0.0268125
9/1/2017,F,B,0.001,0.0026,0.0013,0.0034,0.715,16,0.0446875
9/1/2017,F,C,0.0011,0.0028,0.001,0.0026,-0.143,16,-0.0089375
9/1/2017,T,A,0.009,0.002,0.0009,0.0017,11.154,20.25,0.550814815
9/1/2017,T,B,0.0013,0.0134,0.0035,0.0167,1.573,20.25,0.077679012
9/1/2017,T,C,0.0011,0.004,0.0009,0.0035,-0.429,20.25,-0.021185185
9/1/2017,Cr,A,0.0005,0.0009,0.0005,0.0009,0,1,0
9/1/2017,Cr,B,0.0005,0.0009,0.0004,0.0005,-0.429,1,-0.429
9/1/2017,Cr,C,0.0006,0.001,0.0006,0.0009,-0.143,1,-0.143
9/5/2017,H,A,0,0.001,0,0,-1.43,16,-0.089375
9/5/2017,H,B,0.001,0.001,0,0,0,16,0
9/5/2017,H,C,0.005,0.048,0.001,0.079,50.05,16,3.128125
9/5/2017,So,A,0.004,0.004,0,0.001,1.43,16,0.089375
9/5/2017,So,B,0.001,0.003,0,0.003,1.43,16,0.089375
9/5/2017,So,C,0.002,0.016,0,0.025,15.73,16,0.983125
9/5/2017,Sh,A,0,0,0,0,0,16,0
9/5/2017,Sh,B,0.003,0.007,0,0.008,5.72,16,0.3575
9/5/2017,Sh,C,0.002,0.015,0,0.023,14.3,16,0.89375
9/5/2017,F,A,0,0.002,0,0,-2.86,16,-0.17875
9/5/2017,F,B,0.003,0.024,0,0.037,22.88,16,1.43
9/5/2017,F,C,0.002,0.003,0,0,-1.43,16,-0.089375
9/5/2017,T,A,0.001,0.004,0,0.002,-1.43,20.25,-0.070617284
9/5/2017,T,B,0.001,0.002,0,0.001,0,20.25,0
9/5/2017,T,C,0,0,0,0,0,20.25,0
9/5/2017,Cr,A,0.001,0,0,0,1.43,1,1.43
9/5/2017,Cr,B,0,0,0,0,0,1,0
9/5/2017,Cr,C,0,0,0.003,0,-4.29,1,-4.29
9/8/2017,H,A,0.003,0.027,0,0.033,12.87,16,0.804375
9/8/2017,H,B,0.001,0.003,0,0,-2.86,16,-0.17875
9/8/2017,H,C,0.001,0.003,0,0,-2.86,16,-0.17875
9/8/2017,So,A,0.001,0.005,-0.001,0.001,-2.86,16,-0.17875
9/8/2017,So,B,0.007,0.026,0.001,0.032,17.16,16,1.0725
9/8/2017,So,C,0.004,0.007,0,0.003,0,16,0
9/8/2017,Sh,A,0.002,0.005,0,0.003,0,16,0
9/8/2017,Sh,B,0.002,0.007,0,0.004,-1.43,16,-0.089375
9/8/2017,Sh,C,0.002,0.006,0,0.005,1.43,16,0.089375
9/8/2017,F,A,0.006,0.057,0.001,0.075,32.89,16,2.055625
9/8/2017,F,B,0.001,0.006,0,0.001,-5.72,16,-0.3575
9/8/2017,F,C,0.008,0.004,0,0.002,8.58,16,0.53625
9/8/2017,T,A,0.005,0.026,0.001,0.027,7.15,20.25,0.35308642
9/8/2017,T,B,0.006,0.08,0.002,0.125,70.07,20.25,3.460246914
9/8/2017,T,C,0.002,0.028,0.001,0.046,27.17,20.25,1.341728395
9/8/2017,Cr,A,,,,,,1,0
9/8/2017,Cr,B,,,,,,1,0
9/8/2017,Cr,C,,,,,,1,0
9/12/2017,H,A,0,0,0,0,0,16,0
9/12/2017,H,B,0,0.001,0.001,0,-2.86,16,-0.17875
9/12/2017,H,C,0.002,0.054,0.002,0.076,31.46,16,1.96625
9/12/2017,So,A,0.002,0.008,0,0,-8.58,16,-0.53625
9/12/2017,So,B,0,0,0.001,0,-1.43,16,-0.089375
9/12/2017,So,C,0.009,0.034,0.003,0.02,-11.44,16,-0.715
9/12/2017,Sh,A,0.006,0.023,0.002,0.006,-18.59,16,-1.161875
9/12/2017,Sh,B,0.006,0.012,0,0,-8.58,16,-0.53625
9/12/2017,Sh,C,0.001,0.004,0.002,0.004,-1.43,16,-0.089375
9/12/2017,F,A,0,0.001,0,0,-1.43,16,-0.089375
9/12/2017,F,B,0.002,0.029,0.001,0.039,15.73,16,0.983125
9/12/2017,F,C,0,0,0,0,0,16,0
9/12/2017,T,A,0.004,0.031,0,0.017,-14.3,20.25,-0.70617284
9/12/2017,T,B,0.004,0.033,0.001,0.043,18.59,20.25,0.918024691
9/12/2017,T,C,0.002,0.018,0.001,0.015,-2.86,20.25,-0.141234568
9/12/2017,Cr,A,0.002,0.001,0,0,1.43,1,1.43
9/12/2017,Cr,B,0.002,0.002,0,0,0,1,0
9/12/2017,Cr,C,0.001,0,0,0,1.43,1,1.43
9/15/2017,H,A,-0.0022,0.015,0.001,0.033,21.164,16,1.32275
9/15/2017,H,B,-0.0035,-0.0018,0.0006,0.0039,2.288,16,0.143
9/15/2017,H,C,-0.0006,0.0187,0.0026,0.0209,-1.43,16,-0.089375
9/15/2017,So,A,0.0018,-0.0004,0.0002,0.0005,3.575,16,0.2234375
9/15/2017,So,B,-0.0011,-0.0044,0,0.0016,7.007,16,0.4379375
9/15/2017,So,C,-0.0029,-0.0057,0.0002,0.0004,4.29,16,0.268125
9/15/2017,Sh,A,-0.0024,-0.0048,0.0011,0.002,4.719,16,0.2949375
9/15/2017,Sh,B,-0.0038,-0.006,0,0,3.146,16,0.196625
9/15/2017,Sh,C,0.0018,-0.0007,0,0.0004,4.147,16,0.2591875
9/15/2017,F,A,-0.0039,-0.0065,0,0.0011,5.291,16,0.3306875
9/15/2017,F,B,0.0024,0.001,0,0.0004,2.574,16,0.160875
9/15/2017,F,C,-0.0007,0.0198,0.001,0.0331,16.588,16,1.03675
9/15/2017,T,A,0.0035,0.0061,0.0032,0.0095,5.291,20.25,0.261283951
9/15/2017,T,B,-0.0016,0.0162,0.0032,0.0371,23.023,20.25,1.136938272
9/15/2017,T,C,-0.0032,-0.0055,0.0013,0.0027,5.291,20.25,0.261283951
9/15/2017,Cr,A,0.0011,-0.0018,0,0,4.147,1,4.147
9/15/2017,Cr,B,-0.0002,-0.0033,0,0,4.433,1,4.433
9/15/2017,Cr,C,0.0013,-0.0017,0.0004,0.0006,4.576,1,4.576
